Licensee Name,Meridian Goods LLC
Licensor Name,BrandCo Holdings LLC
Contract Number,BC-2024-0078
Reporting Period Start,2025-04-01
Reporting Period End,2025-06-30
Report Submission Date,2025-07-29
Territory,United States and Canada

Product Description,SKU,Product Category,Gross Sales,Returns / Allowances,Net Sales,Royalty Rate,Royalty Due
Classic Logo Tee - S/M/L,SKU-APP-001,Apparel,18200.00,900.00,17300.00,10%,1730.00
Classic Logo Tee - XL/XXL,SKU-APP-002,Apparel,9400.00,500.00,8900.00,10%,890.00
Logo Hoodie - Full Zip,SKU-APP-003,Apparel,22500.00,1100.00,21400.00,10%,2140.00
Logo Hoodie - Pullover,SKU-APP-004,Apparel,14800.00,600.00,14200.00,10%,1420.00
Logo Cap - Structured,SKU-ACC-001,Accessories,11300.00,300.00,11000.00,12%,1320.00
Logo Cap - Unstructured,SKU-ACC-002,Accessories,8700.00,250.00,8450.00,12%,1014.00
Branded Keychain,SKU-ACC-003,Accessories,4200.00,100.00,4100.00,12%,492.00
Tote Bag - Canvas,SKU-ACC-004,Accessories,6100.00,200.00,5900.00,12%,708.00
Low-Top Sneaker,SKU-FTW-001,Footwear,31000.00,2200.00,28800.00,8%,2304.00
High-Top Sneaker,SKU-FTW-002,Footwear,19500.00,1500.00,18000.00,8%,1440.00
Slide Sandal,SKU-FTW-003,Footwear,8800.00,400.00,8400.00,8%,672.00

TOTAL,,,154500.00,8050.00,146450.00,,14130.00

Licensee Reported Royalty,14130.00
Notes,"Rates per contract Exhibit A: Apparel 10%, Accessories 12%, Footwear 8%. All amounts in USD. Canadian sales converted at 1.36 CAD/USD per reporting period average."
